"office","chamber","party","state","bioguide"
"Sensenbrenner, Rep. Jim","House","Republican","WI","S000244"
"Serrano, Rep. Jos+","House",,,
"Sessions, Rep. Pete","House","Republican","TX","S000250"
"Sherman, Rep. Brad","House","Democrat","CA","S000344"
"Shimkus, Rep. John","House","Republican","IL","S000364"
"Simpson, Rep. Mike","House","Republican","ID","S001148"
"Slaughter, Rep. Louise","House","Democrat","NY","S000480"
"Smith, Rep. Chris","House","Republican","NJ","S000522"
"Smith, Rep. Lamar","House","Republican","TX","S000583"
"Stark, Rep. Pete","House","Democrat","CA","S000810"
"Stearns, Rep. Cliff","House","Republican","FL","S000822"
"Sullivan, Rep. John","House","Republican","OK","S001155"
"Sewell, Rep. Terri","House","Republican","OK","S001155"
"Terry, Rep. Lee","House","Republican","NE","T000459"
"Thompson, Rep. Bennie","House","Democrat","MS","T000193"
"Thompson, Rep. Mike","House","Democrat","CA","T000460"
"Thornberry, Rep. Mac","House","Republican","TX","T000238"
"Tiberi, Rep. Pat","House","Republican","OH","T000462"
"Tierney, Rep. John","House","Democrat","MA","T000266"
"Toomey, Sen. Pat","Senate","Republican","PA","T000461"
"Towns, Rep. Ed","House","Democrat","NY","T000326"
"Turner, Rep. Mike","House","Republican","OH","T000463"
"Udall, Sen. Mark Emery","Senate","Democrat","CO","U000038"
"Udall, Sen. Tom","Senate","Democrat","NM","U000039"
"Upton, Rep. Fred","House","Republican","MI","U000031"
"Van Hollen, Rep. Chris","House","Democrat","MD","V000128"
"Visclosky, Rep. Peter John","House","Democrat","IN","V000108"
"Vitter, Sen. David","Senate","Republican","LA","V000127"
"Walden, Rep. Greg","House","Republican","OR","W000791"
"Waters, Rep. Maxine","House","Democrat","CA","W000187"
"Watt, Rep. Mel","House","Democrat","NC","W000207"
"S+nchez, Rep. Linda","House",,,
"Waxman, Rep. Henry","House","Democrat","CA","W000215"
"Weiner, Rep. Anthony","House","Democrat","NY","W000792"
"Whitfield, Rep. Ed","House","Republican","KY","W000413"
"Wicker, Sen. Roger","Senate","Republican","MS","W000437"
"Wilson, Rep. Joe","House","Republican","SC","W000795"
"Wolf, Rep. Frank","House","Republican","VA","W000672"
"Woolsey, Rep. Lynn","House","Democrat","CA","W000738"
"Johnson, Sen. Ron","Senate","Democrat","OR","W000793"
"Wu, Rep. David","House","Democrat","OR","W000793"
"Young, Rep. C.W. Bill","House","Republican","FL","Y000031"
"Young, Rep. Don","House","Republican","AK","Y000033"
"Neugebauer, Rep. Randy","House","Republican","TX","N000182"
"Grijalva, Rep. Ra+l","House",,,
"Brown, Sen. Sherrod","Senate","Democrat","KY","C001058"
"Brown, Sen. Scott","Senate","Democrat","KY","C001058"
"Thune, Sen. John","Senate","Republican","SD","T000250"
"Coburn, Sen. Tom","Senate","Republican","OK","C000560"
"Lungren, Rep. Dan","House","Republican","CA","L000517"
"Mack, Rep. Connie","House","Republican","FL","M001155"
"Wasserman Schultz, Rep. Debbie","House","Democrat","FL","W000797"
"Price, Rep. Tom","House","Republican","GA","P000591"
"Westmoreland, Rep. Lynn","House","Republican","GA","W000796"
"Barrow, Rep. John","House","Democrat","GA","B001252"
"Lipinski, Rep. Dan","House","Democrat","IL","L000563"
"Higgins, Rep. Brian M.","House","Democrat","NY","H001038"
"Foxx, Rep. Virginia","House","Republican","NC","F000450"
"McHenry, Rep. Patrick","House","Republican","NC","M001156"
"Schwartz, Rep. Allyson","House","Democrat","PA","S001162"
"Poe, Rep. Ted","House","Republican","TX","P000592"
"Green, Rep. Gene","House","Democrat","TX","G000553"
"Green, Rep. Al","House","Democrat","TX","G000553"
"McCaul, Rep. Michael","House","Republican","TX","M001157"
"Marchant, Rep. Kenny","House","Republican","TX","M001158"
"McMorris Rodgers, Rep. Cathy","House","Republican","WA","M001159"
"Reichert, Rep. Dave","House","Republican","WA","R000578"
"Moore, Rep. Gwen","House","Democrat","WI","M001160"
"Matsui, Rep. Doris Okada","House","Democrat","CA","M001163"
"Coats, Sen. Dan","Senate","Republican","IN","C000542"
"Shuster, Rep. Bill","House","Republican","PA","S001154"
"Schmidt, Rep. Jean","House","Republican","OH","S001164"
"Sires, Rep. Albio","House","Democrat","NJ","S001165"
"McNerney, Rep. Jerry","House","Democrat","CA","M001166"
"Luj+n, Rep. Ben Ray","House",,,
"McCarthy, Rep. Kevin","House","Republican","CA","M001165"
"Lamborn, Rep. Doug","House","Republican","CO","L000564"
"Perlmutter, Rep. Ed","House","Democrat","CO","P000593"
"Murphy, Rep. Chris","House","Democrat","CT","M001169"
"Johnson, Rep. Hank","House","Democrat","GA","J000288"
"Hirono, Rep. Mazie","House","Democrat","HI","H001042"
"Roskam, Rep. Peter","House","Republican","IL","R000580"
"Loebsack, Rep. Dave","House","Democrat","IA","L000565"
"Yarmuth, Rep. John A.","House","Democrat","KY","Y000062"
"Sarbanes, Rep. John","House","Democrat","MD","S001168"
"Walberg, Rep. Tim","House","Republican","MI","W000798"
"Walz, Rep. Tim","House","Democrat","MN","W000799"
"Bachmann, Rep. Michele","House","Republican","MN","B001256"
"Smith, Rep. Adrian","House","Republican","NE","S001172"
"Heller, Sen. Dean","Senate","Republican","NV","H001041"
"Heller, Rep. Dean","House","Republican","NV","H001041"
"Gillibrand, Sen. Kirsten Rutnik","Senate","Democrat","NY","G000555"
"Shuler, Rep. Heath","House","Democrat","NC","S001171"
"Jordan, Rep. Jim","House","Republican","OH","J000289"
"Sutton, Rep. Betty","House","Democrat","OH","S001174"
